video_id,title,channel,channel_id,publish_date,video_age_days,title_length_words,title_sentiment,category_id,category_name,view_count,like_count,comment_count,like_view_ratio_percent,comment_view_ratio_percent,region,subscriber_count
UxU3RceDIn0,I BUILT MY OWN GAMING CAFE,Techno,UCY6s6soycjPFPAajxbmrmBg,2025-07-30T06:30:17Z,1,6,0.0,24,Entertainment,1633098,86052,5135,5.269248997916843,0.31443305913056047,IN,4830000
0epWXkEXaDM,Wildfires - Shaky Shaky (Official Music Video) ft. Sanju Rathod,WildfiresVEVO,UCgHEXoulDzhVW4MAs06q3vw,2025-07-27T21:30:25Z,3,10,-0.4215,10,Music,3240615,12406,111,0.382828568034154,0.0034252757578422614,IN,6460
oSfZT5RxEI4,Avatar: Fire and Ash Trailer Review | Yogi Bolta Hai,YOGI BOLTA HAI,UCIihexFQucy1Sm7V7yvL_mA,2025-07-28T16:31:07Z,2,10,-0.34,24,Entertainment,523491,23006,840,4.394726938954061,0.16046121136753067,IN,1380000
AyIIc4ewRFI,Long Slide Game With Cow Elephant Gorilla Hippopotamus Tiger - 3d Animal Game - Funny 3d Animals,Teodorissimo - FunAnimation,UC0atxk1vvXlRUSSPULZlLMg,2025-07-30T10:35:01Z,1,17,0.4404,24,Entertainment,710751,42144,749,5.929502737245533,0.10538149084559853,IN,432000
Y9ZrQiKaQCE,#Video | #Ashish Yadav का एक और रक्षाबंधन स्पेशल गीत | पटना से अइलीयो गे बहिन | #Raksha Bandhan Song,Aashish Yadav Entertainment,UCjaOWpDTaZKe63ApNJ8BLPg,2025-07-30T00:23:48Z,1,20,0.0,10,Music,418796,16371,795,3.909063123812071,0.18982989331321215,IN,2500000
BNRjsBpML_I,Son Of Sardaar 2|Film Ban |Sparks Yogi-Amitabh Clash | Bollywood Realty|Ajay Devgan|Trailer Review,B H Movies,UCN7k_79KhHvF88TuBfWXJ4g,2025-07-28T04:15:06Z,3,13,-0.5574,24,Entertainment,107552,1885,237,1.752640583159774,0.2203585242487355,IN,25600
6LWtmeU7zxE,Franklin Change House To Water Park - INDIAN BIKES DRIVING 3D,Cript Play,UCtsql5AkLyDLO18gIxbhkKg,2025-07-30T06:46:11Z,1,11,0.0,20,Gaming,595681,4176,39,0.701046365420418,0.006547128412690686,IN,261000
lFLK4PLxt1U,"Oopiri Ooyalaga Song | WAR 2 | Hrithik Roshan, Kiara Advani | Pritam, Shashwat, Nikhita |Chandrabose",YRF Telugu,UCWy86xaqJanc_yM7ItLfzAw,2025-07-31T05:42:07Z,0,16,-0.6841,10,Music,585040,38003,1247,6.495795159305347,0.21314781895255025,IN,671000
BdSgJv7nsTE,Sumathi Valavu | Official Trailer | Arjun Ashokan | Vishnu Sasi Shankar| Abhilash Pillai |Ranjin Raj,Muzik247,UChRi1dpwnsZcIo1LSwzY0Iw,2025-07-27T13:33:36Z,3,16,0.0,24,Entertainment,830523,25138,839,3.026767470617912,0.10102068214847752,IN,6220000
s7oLqYQXVlI,Long Slide Game With Elephant Gorilla Buffalo Hippopotamus Tiger 3d Animal Game Funny 3d Animals,Firodaliso FunAnimation,UCMK2MVNthSkVfb8oPcQpMdw,2025-07-30T15:05:40Z,0,15,0.4404,24,Entertainment,491485,31106,780,6.328982573221969,0.15870270710194614,IN,418000
